(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान के प्रमुख अनुसंधान केंद्र || 18-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058613/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-2 || कल्याणकारी योजनाएँ एवं पुरस्कार || 07-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2007382/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-3 || कल्याणकारी योजनाएँ एवं पुरस्कार || 08-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2009200/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-4 || कल्याणकारी योजनाएँ एवं पुरस्कार || 08-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2009201/plain/720x1280.mp4
(शैक्षिक प्रबंधन - बिजेश सर) Part-5 || कल्याणकारी योजनाएँ एवं पुरस्कार || 09-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2010811/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || शिक्षा मनोविज्ञान का अर्थ एवं प्रकृति || 01-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2039113/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || शिक्षा मनोविज्ञान का अर्थ एवं प्रकृति  || 01-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2039114/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || शिक्षा मनोविज्ञान का अर्थ एवं प्रकृति || 02-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2040333/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || अधिगम || 02-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2040334/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || अधिगम || 03-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2041566/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || अधिगम || 03-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2041567/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || अधिगम || 03-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2041568/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || अधिगम || 04-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2041779/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-6 || अधिगम || 04-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2041780/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-7 || अधिगम || 05-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2043081/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-8 || अधिगम || 05-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2043082/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-9 || अधिगम || 06-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2044489/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-10 || अधिगम || 06-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2044491/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || अभिप्रेरणा || 07-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2045784/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || अभिप्रेरणा || 07-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2045785/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || बुद्धि || 08-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2047170/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || बुद्धि || 08-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2047171%29/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || बुद्धि || 08-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2047172/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || बुद्धि || 09-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2048755/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || बुद्धि || 09-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2048756/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-6 || बुद्धि || 09-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2048757/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || व्यक्तित्व || 11-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2049990/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || व्यक्तित्व || 11-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2049991/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || व्यक्तित्व || 12-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2051429/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || व्यक्तित्व || 12-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2051431/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || व्यक्तित्व || 13-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2053014/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || व्यक्तिगत विभिन्नता || 14-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2054222/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || व्यक्तिगत विभिन्नता|| 14-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2054223/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || व्यक्तिगत विभिन्नता || 14-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2054224/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 || समायोजन|| 15-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2055764/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || समायोजन|| 15-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2055765/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-1 ||बाल विकास || 15-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2055766/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-2 || बाल विकास|| 16-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2057166/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-3 || बाल विकास | 16-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2057167/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-4 || बाल विकास | 16-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2057168/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-5 || बाल विकास | 17-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058408/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-6 || बाल विकास | 17-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058409/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-7 || बाल विकास | 17-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058410/plain/720x1280.mp4
(शिक्षा मनोविज्ञान - बिजेश बाजिया सर) Part-8|| बाल विकास | 17-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058406/plain/720x1280.mp4
(Psychology) Part-1 || पाठ्यक्रम परिचर्चा || 28-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1994270/plain/720x1280.mp4
(Psychology) Part-2 || पाठ्यक्रम परिचर्चा || 29-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1995308/plain/720x1280.mp4
(Psychology) Part-1 || शिक्षा मनोविज्ञान के सम्प्रदाय || 30-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1996355/plain/720x1280.mp4
